First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation
Emanuel,Reynoso,Minnesota United,Attacking Midfield,"$1,700,000.00","$2,251,200.00"
Spencer,Richey,Chicago Fire,Goalkeeper,"$165,000.00","$165,000.00"
Will,Richmond,San Jose Earthquakes,Right Wing,"$89,716.00","$89,716.00"
Jamar,Ricketts,San Jose Earthquakes,Left-back,"$71,401.00","$72,988.00"
Emiliano,Rigoni,Austin FC,Right Wing,"$1,599,996.00","$2,047,996.00"
Chris,Rindov,Sporting Kansas City,Center-back,"$71,401.00","$71,401.00"
Alexander,Ring,Austin FC,Central Midfield,"$1,525,000.00","$1,665,000.00"
Birk,Risa,New York City FC,Center-back,"$660,000.00","$749,750.00"
Luis,Rivera,Real Salt Lake,Left-back,"$89,716.00","$100,816.00"
Damián,Rivera,New England Revolution,Left Wing,"$92,610.00","$92,610.00"
Miles,Robinson,FC Cincinnati,Center-back,"$1,431,820.00","$1,578,580.00"
Robbie,Robinson,Inter Miami,Left Wing,"$250,000.00","$262,000.00"
Missael,Rodríguez,Chicago Fire,Center Forward,"$89,716.00","$89,716.00"
Martín,Rodríguez,DC United,Left Wing,"$1,100,000.00","$1,366,200.00"
Santiago,Rodríguez,New York City FC,Attacking Midfield,"$1,200,000.00","$1,331,333.00"
Memo,Rodríguez,Sporting Kansas City,Left Midfield,"$89,716.00","$98,716.00"
Emerson,Rodríguez,Inter Miami,Right Wing,"$345,000.00","$380,700.00"
Jonathan,Rodríguez,Portland Timbers,Center Forward,"$1,775,000.00","$2,627,500.00"
Braudílio,Rodrigues,Seattle Sounders FC,Left Wing,"$89,716.00","$89,716.00"
Antônio Josenildo,Rodrigues de Oliveira,San Jose Earthquakes,Center-back,"$650,000.00","$708,000.00"
Matías,Rojas,Inter Miami,Attacking Midfield,"$150,000.00","$516,667.00"
Cristian,Roldán,Seattle Sounders FC,Central Midfield,"$1,420,000.00","$1,541,000.00"
Álex,Roldán,Seattle Sounders FC,Right-back,"$465,000.00","$465,000.00"
Abraham,Romero,LAFC,Goalkeeper,"$89,716.00","$89,716.00"
Tomás,Romero,New York City FC,Goalkeeper,"$71,401.00","$71,401.00"
Brian,Romero,Charlotte FC,Right Wing,"$100,000.00","$110,833.00"
Dave,Romney,New England Revolution,Center-back,"$675,000.00","$721,667.00"
Connor,Ronan,Colorado Rapids,Central Midfield,"$470,000.00","$522,400.00"
Joseph,Rosales,Minnesota United,Central Midfield,"$93,988.00","$93,988.00"
Keegan,Rosenberry,Colorado Rapids,Right-back,"$400,000.00","$400,000.00"
Dany,Rosero,Sporting Kansas City,Center-back,"$510,000.00","$510,000.00"
Diego,Rossi,Columbus Crew,Left Wing,"$2,675,000.00","$3,376,827.00"
Sigurd,Rosted,Toronto FC,Center-back,"$750,000.00","$755,000.00"
Paul,Rothrock,Seattle Sounders FC,Center Forward,"$89,716.00","$89,716.00"
Rubio,Rubín,Real Salt Lake,Center Forward,"$626,400.00","$699,247.00"
Diego,Rubio,Austin FC,Center Forward,"$350,000.00","$390,000.00"
Raúl,Ruidíaz,Seattle Sounders FC,Center Forward,"$2,000,000.00","$2,729,120.00"
Pablo,Ruiz,Real Salt Lake,Central Midfield,"$825,000.00","$911,500.00"
Albert,Rusnák,Seattle Sounders FC,Attacking Midfield,"$2,150,000.00","$2,221,667.00"
Johnny,Russell,Sporting Kansas City,Right Wing,"$1,000,000.00","$1,000,000.00"
Jacen,Russell-Rowe,Columbus Crew,Center Forward,"$89,716.00","$97,105.00"
Ilie,Sánchez,LAFC,Defensive Midfield,"$1,267,875.00","$1,267,875.00"
Ryan,Sailor,Inter Miami,Center-back,"$89,716.00","$89,716.00"
Carl,Sainté,FC Dallas,Defensive Midfield,"$71,401.00","$71,401.00"
Enes,Sali,FC Dallas,Left Wing,"$300,000.00","$345,000.00"
Nathan-Dylan,Saliba,CF Montreal,Central Midfield,"$130,000.00","$142,434.00"
Abdi,Salim,Orlando City SC,Center-back,"$71,401.00","$71,401.00"
Dániel,Sallói,Sporting Kansas City,Left Wing,"$1,300,000.00","$1,300,000.00"
Tobias,Salquist,Chicago Fire,Center-back,"$400,000.00","$454,167.00"
Will,Sands,Columbus Crew,Left-back,"$125,000.00","$131,250.00"
James,Sands,New York City FC,Defensive Midfield,"$1,000,000.00","$1,058,333.00"
Pedro,Santos,DC United,Right Wing,"$450,000.00","$490,000.00"
Sergio,Santos,FC Cincinnati,Center Forward,"$800,000.00","$915,625.00"
Kieran,Sargeant,Houston Dynamo,Defender,"$71,401.00","$73,594.00"
Hayden,Sargis,DC United,Center-back,"$89,716.00","$89,716.00"
Nick,Scardina,Charlotte FC,Right-back,"$71,401.00","$71,401.00"
Alessandro,Schöpf,Vancouver Whitecaps,Attacking Midfield,"$900,000.00","$992,500.00"
Ryan,Schewe,Sporting Kansas City,Goalkeeper,"$71,401.00","$71,401.00"
Matteo,Schiavoni,CF Montreal,Right Midfield,"$71,401.00","$77,383.00"
Rodrigo,Schlegel,Orlando City SC,Center-back,"$350,000.00","$399,250.00"
Tate,Schmitt,Houston Dynamo,Left-back,"$150,000.00","$150,000.00"
Patrick,Schulte,Columbus Crew,Goalkeeper,"$150,000.00","$160,603.00"
Tarik,Scott,FC Dallas,Left Wing,"$89,716.00","$105,658.00"
Brady,Scott,LA Galaxy,Goalkeeper,"$89,716.00","$111,383.00"
Dante,Sealy,FC Dallas,Left Wing,"$275,036.00","$297,787.00"
Gabriel,Segal,Houston Dynamo,Center Forward,"$71,401.00","$71,401.00"
Eddie,Segura,LAFC,Center-back,"$250,000.00","$250,000.00"
Amar,Sejdić,Nashville SC,Defensive Midfield,"$89,716.00","$89,716.00"
Oliver,Semmle,Philadelphia Union,Goalkeeper,"$89,716.00","$106,040.00"
Brandon,Servania,Toronto FC,Central Midfield,"$550,000.00","$602,708.00"
Jacob,Shaffelburg,Nashville SC,Left Wing,"$350,000.00","$395,000.00"
Xherdan,Shaqiri,Chicago Fire,Attacking Midfield,"$7,350,000.00","$8,153,000.00"
Khiry,Shelton,Sporting Kansas City,Center Forward,"$700,000.00","$750,000.00"
Jonathan,Shore,New York City FC,Central Midfield,"$71,401.00","$83,901.00"
Tommy,Silva,Real Salt Lake,Left-back,"$71,401.00","$77,383.00"
Marcelo,Silva,Real Salt Lake,Center-back,"$400,000.00","$400,000.00"
Xande,Silva,Atlanta United,Left Wing,"$560,000.00","$604,250.00"
Luke,Singh,Toronto FC,Center-back,"$140,000.00","$147,966.00"
Adem,Sipić,Nashville SC,Center Forward,"$71,401.00","$129,053.00"
Jonathan,Sirois,CF Montreal,Goalkeeper,"$135,000.00","$152,156.00"
Jack,Skahan,San Jose Earthquakes,Central Midfield,"$150,000.00","$150,000.00"
Joey,Skinner,Nashville SC,Left-back,"$71,401.00","$76,401.00"
Bartosz,Slisz,Atlanta United,Defensive Midfield,"$630,000.00","$830,000.00"
Tyger,Smalls,Charlotte FC,Left Wing,"$71,401.00","$71,401.00"
Brad,Smith,Houston Dynamo,Left-back,"$424,999.00","$471,249.00"
Kyle,Smith,Orlando City SC,Right-back,"$290,000.00","$305,900.00"
Santiago,Sosa,Atlanta United,Defensive Midfield,"$685,000.00","$778,100.00"
Joaquín,Sosa,CF Montreal,Center-back,"$251,500.00","$251,500.00"
Arnaud,Souquet,Chicago Fire,Right-back,"$620,012.00","$699,679.00"
Ryan,Spaulding,New England Revolution,Left-back,"$89,716.00","$89,716.00"
Tyrese,Spicer,Toronto FC,Left Wing,"$71,401.00","$73,901.00"
Dayne,St. Clair,Minnesota United,Goalkeeper,"$460,000.00","$481,875.00"
Mason,Stajduhar,Orlando City SC,Goalkeeper,"$142,000.00","$157,650.00"
Zack,Steffen,Colorado Rapids,Goalkeeper,"$900,000.00","$900,000.00"
Daniel,Steres,Houston Dynamo,Center-back,"$450,000.00","$498,425.00"
Kimani,Stewart-Baynes,Colorado Rapids,Left Wing,"$71,401.00","$72,401.00"
Aidan,Stokes,New York Red Bulls,Goalkeeper,"$71,401.00","$88,169.00"
Jared,Stroud,DC United,Left Wing,"$230,000.00","$272,500.00"
Peter,Stroud,New York Red Bulls,Central Midfield,"$89,716.00","$109,719.00"
Brad,Stuver,Austin FC,Goalkeeper,"$459,000.00","$481,813.00"
Santiago,Suárez,New England Revolution,Center-back,"$89,716.00","$102,938.00"
Luis,Suárez,Inter Miami,Center Forward,"$1,500,000.00","$1,500,000.00"
Quinn,Sullivan,Philadelphia Union,Right Midfield,"$150,000.00","$153,500.00"
Hunter,Sulte,Portland Timbers,Goalkeeper,"$89,716.00","$93,519.00"
Lawson,Sunderland,Inter Miami,Central Midfield,"$71,401.00","$71,401.00"
Sam,Surridge,Nashville SC,Center Forward,"$2,500,000.00","$2,907,639.00"
Erik,Sviatchenko,Houston Dynamo,Center-back,"$774,996.00","$824,996.00"
Ousmane,Sylla,Houston Dynamo,Midfielder,"$71,401.00","$71,401.00"
Yohei,Takaoka,Vancouver Whitecaps,Goalkeeper,"$672,000.00","$789,713.00"
Strahinja,Tanasijevic,New York City FC,Center-back,"$240,000.00","$308,750.00"
Miguel,Tapias,Minnesota United,Center-back,"$725,000.00","$811,875.00"
Andrew,Tarbell,Houston Dynamo,Goalkeeper,"$250,000.00","$280,000.00"
Sidnei,Tavares,Colorado Rapids,Central Midfield,"$525,000.00","$750,600.00"
Iuri,Tavares,Charlotte FC,Left Wing,"$89,716.00","$101,769.00"
D.J.,Taylor,Minnesota United,Right-back,"$160,000.00","$220,233.00"
Robert,Taylor,Inter Miami,Left Wing,"$300,000.00","$326,900.00"
Carlos,Terán,Chicago Fire,Center-back,"$529,000.00","$619,000.00"
Dylan,Teves,Seattle Sounders FC,Central Midfield,"$89,716.00","$89,716.00"
Dagur Dan,Thórhallsson,Orlando City SC,Right-back,"$180,000.00","$215,500.00"
Nökkvi,Thórisson,St. Louis City SC,Left Wing,"$180,000.00","$202,438.00"
Jamal,Thiaré,Atlanta United,Center Forward,"$500,000.00","$595,000.00"
Andrew,Thomas,Seattle Sounders FC,Goalkeeper,"$150,000.00","$150,000.00"
Erik,Thommy,Sporting Kansas City,Attacking Midfield,"$1,000,000.00","$1,106,250.00"
Tommy,Thompson,San Jose Earthquakes,Right-back,"$89,716.00","$89,716.00"
Kosi,Thompson,Toronto FC,Right Midfield,"$95,000.00","$100,260.00"
Róbert Orri,Thorkelsson,CF Montreal,Center-back,"$225,000.00","$248,500.00"
Timothy,Tillman,LAFC,Central Midfield,"$600,000.00","$637,500.00"
John,Tolkin,New York Red Bulls,Left-back,"$450,000.00","$485,750.00"
Nouhou,Tolo,Seattle Sounders FC,Left-back,"$550,000.00","$571,875.00"
Adyn,Torres,Atlanta United,Central Midfield,"$71,401.00","$71,401.00"
Facundo,Torres,Orlando City SC,Right Wing,"$1,560,000.00","$1,812,400.00"
Joaquín,Torres,Philadelphia Union,Right Wing,"$300,000.00","$349,800.00"
Tomas,Totland,St. Louis City SC,Right-back,"$273,000.00","$314,763.00"
Dantouma,Toure,MLS Pool,Right Wing,"$89,716.00","$104,334.00"
Mason,Toye,CF Montreal,Center Forward,"$600,000.00","$658,000.00"
Wil,Trapp,Minnesota United,Defensive Midfield,"$400,000.00","$445,000.00"
Jackson,Travis,Colorado Rapids,Left-back,"$89,716.00","$92,216.00"
Holden,Trent,Philadelphia Union,Goalkeeper,"$89,716.00","$89,716.00"
Niko,Tsakiris,San Jose Earthquakes,Central Midfield,"$110,000.00","$114,167.00"
Garrison,Tubbs,DC United,Center-back,"$71,401.00","$71,401.00"
Bill,Tuiloma,Charlotte FC,Center-back,"$460,000.00","$484,938.00"
Ema,Twumasi,FC Dallas,Right-back,"$370,000.00","$389,300.00"
Marinos,Tzionis,Sporting Kansas City,Left Wing,"$625,000.00","$625,000.00"
Mikael,Uhre,Philadelphia Union,Center Forward,"$1,800,000.00","$2,040,000.00"
Nathan,Uiliam Fogaça,Portland Timbers,Center Forward,"$89,716.00","$89,716.00"
Jere,Uronen,Charlotte FC,Left-back,"$525,000.00","$572,813.00"
Alejandro,Urzua,FC Dallas,Central Midfield,"$71,401.00","$71,401.00"
Bjørn Inge,Utvik,Vancouver Whitecaps,Center-back,"$450,000.00","$502,083.00"
Leo,Väisänen,Austin FC,Center-back,"$600,000.00","$654,500.00"
Xavier,Valdez,Houston Dynamo,Goalkeeper,"$89,716.00","$99,427.00"
Jhojan,Valencia,Austin FC,Defensive Midfield,"$450,000.00","$495,125.00"
Felipe,Valencia,Inter Miami,Right Wing,"$89,716.00","$89,716.00"
Zarek,Valentin,Minnesota United,Right-back,"$93,988.00","$93,988.00"
Gerardo,Valenzuela,FC Cincinnati,Attacking Midfield,"$71,401.00","$88,943.00"
Dante,Vanzeir,New York Red Bulls,Center Forward,"$1,350,000.00","$1,489,767.00"
Obed,Vargas,Seattle Sounders FC,Central Midfield,"$89,716.00","$98,748.00"
Alenis,Vargas,Sporting Kansas City,Center Forward,"$71,401.00","$71,401.00"
Kerwin,Vargas,Charlotte FC,Center Forward,"$400,000.00","$437,125.00"
Indiana,Vassilev,St. Louis City SC,Attacking Midfield,"$290,000.00","$322,250.00"
David,Vazquez,Philadelphia Union,Left Wing,"$71,401.00","$87,281.00"
Alan,Velasco,FC Dallas,Left Wing,"$1,250,000.00","$1,451,000.00"
Brayan,Vera,Real Salt Lake,Center-back,"$475,000.00","$532,000.00"
Oscar,Verhoeven,San Jose Earthquakes,Right-back,"$89,716.00","$103,111.00"
Ranko,Veselinovic,Vancouver Whitecaps,Center-back,"$620,000.00","$687,125.00"
Jules-Anthony,Vilsaint,CF Montreal,Center Forward,"$89,716.00","$96,591.00"
Sam,Vines,Colorado Rapids,Left-back,"$850,000.00","$862,500.00"
Pedro,Vite,Vancouver Whitecaps,Attacking Midfield,"$621,000.00","$674,997.00"
Gino,Vivi,LA Galaxy,Left Wing,"$71,401.00","$71,401.00"
Robert,Voloder,Sporting Kansas City,Center-back,"$450,000.00","$477,860.00"
Giacomo,Vrioni,New England Revolution,Center Forward,"$1,700,000.00","$1,947,500.00"
Kai,Wagner,Philadelphia Union,Left-back,"$875,000.00","$1,032,500.00"
Casey,Walls,San Jose Earthquakes,Center-back,"$200,000.00","$203,000.00"
Rémi,Walter,Sporting Kansas City,Central Midfield,"$900,000.00","$900,000.00"
Paul,Walters,FC Cincinnati,Goalkeeper,"$71,401.00","$79,368.00"
Victor,Wanyama,CF Montreal,Defensive Midfield,"$1,440,000.00","$1,800,000.00"
Taylor,Washington,Nashville SC,Left-back,"$89,716.00","$89,716.00"
Joel,Waterman,CF Montreal,Center-back,"$336,000.00","$384,333.00"
Akil,Watts,St. Louis City SC,Right-back,"$74,096.00","$74,096.00"
Patrick,Weah,Minnesota United,Center Forward,"$89,716.00","$103,008.00"
Marcelo,Weigandt,Inter Miami,Right-back,"$150,000.00","$384,708.00"
Jude,Wellings,Real Salt Lake,Central Midfield,"$110,000.00","$130,000.00"
Quentin,Westberg,Atlanta United,Goalkeeper,"$89,716.00","$109,716.00"
Ashley,Westwood,Charlotte FC,Defensive Midfield,"$750,000.00","$850,000.00"
Brian,White,Vancouver Whitecaps,Center Forward,"$754,500.00","$754,500.00"
Caleb,Wiley,Atlanta United,Left-back,"$150,000.00","$151,600.00"
Derrick,Williams,Atlanta United,Center-back,"$400,000.00","$447,500.00"
Thomas,Williams,Orlando City SC,Center-back,"$120,000.00","$126,530.00"
Eryk,Williamson,Portland Timbers,Central Midfield,"$675,000.00","$675,000.00"
Joe,Willis,Nashville SC,Goalkeeper,"$600,000.00","$658,333.00"
Bruno,Wilson,San Jose Earthquakes,Center-back,"$1,000,000.00","$1,118,333.00"
Hannes,Wolf,New York City FC,Left Wing,"$1,400,000.00","$1,510,000.00"
Tyler,Wolff,Atlanta United,Right Wing,"$150,000.00","$154,500.00"
Owen,Wolff,Austin FC,Central Midfield,"$110,000.00","$123,053.00"
Bobby,Wood,New England Revolution,Center Forward,"$450,000.00","$471,250.00"
Laurence,Wootton,Chicago Fire,Central Midfield,"$71,401.00","$73,285.00"
Zidane,Yañez,New York City FC,Center Forward,"$71,401.00","$75,568.00"
Miki,Yamane,LA Galaxy,Right-back,"$550,000.00","$616,667.00"
Dominik,Yankov,CF Montreal,Attacking Midfield,"$350,000.00","$385,000.00"
Darren,Yapi,Colorado Rapids,Center Forward,"$89,716.00","$100,549.00"
William,Yarbrough,San Jose Earthquakes,Goalkeeper,"$385,000.00","$385,000.00"
Joshua,Yaro,St. Louis City SC,Center-back,"$89,716.00","$89,716.00"
Dru,Yearwood,Nashville SC,Central Midfield,"$550,000.00","$597,250.00"
Yaw,Yeboah,Columbus Crew,Right Wing,"$600,000.00","$663,750.00"
DeAndre,Yedlin,FC Cincinnati,Right-back,"$850,000.00","$898,750.00"
Maya,Yoshida,LA Galaxy,Center-back,"$800,000.00","$893,334.00"
Jackson,Yueill,San Jose Earthquakes,Central Midfield,"$900,000.00","$936,875.00"
Luis,Zamudio,DC United,Goalkeeper,"$89,716.00","$89,716.00"
Gyasi,Zardes,Austin FC,Center Forward,"$1,000,000.00","$1,000,000.00"
Eriq,Zavaleta,LA Galaxy,Center-back,"$89,716.00","$89,716.00"
Sean,Zawadzki,Columbus Crew,Central Midfield,"$375,000.00","$421,875.00"
Walker,Zimmerman,Nashville SC,Center-back,"$3,200,000.00","$3,456,979.00"
Rida,Zouhir,CF Montreal,Central Midfield,"$89,716.00","$100,452.00"
Dario,Zuparic,Portland Timbers,Center-back,"$735,000.00","$907,950.00"
