"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Zavier","Gozo","Real Salt Lake","Right Wing","$80,622.00","$93,345.00"
"Owen","Graham-Roache","CF Montreal","Center Forward","$80,622.00","$86,512.00"
"Tayvon","Gray","New York City FC","Right-back","$103,992.00","$215,492.00"
"Stian","Gregersen","Atlanta United","Center-back","$800,000.00","$920,000.00"
"Julian","Gressel","Minnesota United","Right Midfield","$1,146,672.00","$1,146,672.00"
"Yuri","Guboglo","CF Montreal","Right-back","$80,622.00","$86,311.00"
"Gage","Guerra","Portland Timbers","Center Forward","$80,622.00","$80,622.00"
"Colin","Guske","Orlando City SC","Defensive Midfield","$80,622.00","$91,427.00"
"Brian","Gutiérrez","Chicago Fire","Attacking Midfield","$857,955.00","$950,425.00"
"Andrew","Gutman","Chicago Fire","Left-back","$600,000.00","$600,000.00"
"Brad","Guzan","Atlanta United","Goalkeeper","$300,000.00","$312,500.00"
"Stephen Annor","Gyamfi","Houston Dynamo","Center Forward","$90,000.00","$103,750.00"
"Justin","Haak","New York City FC","Central Midfield","$225,003.96","$265,833.00"
"Taha","Habroune","Columbus Crew","Central Midfield","$104,000.00","$116,000.00"
"Alexander","Hack","New York Red Bulls","Center-back","$930,000.00","$1,031,400.00"
"Teenage","Hadebe","FC Cincinnati","Center-back","$960,000.00","$1,110,000.00"
"Nicholas","Hagen","Columbus Crew","Goalkeeper","$104,000.00","$122,600.00"
"Nick","Hagglund","FC Cincinnati","Center-back","$250,000.00","$266,667.00"
"Maren","Haile-Selassie","Chicago Fire","Right Midfield","$388,000.00","$427,500.00"
"Belal","Halbouni","Vancouver Whitecaps","Center-back","$165,000.00","$165,000.00"
"Julian","Hall","New York Red Bulls","Center Forward","$125,000.00","$207,241.00"
"Tyler","Hall","Inter Miami","Center-back","$104,000.00","$104,000.00"
"Michael","Halliday","Houston Dynamo","Right-back","$250,000.00","$277,500.00"
"Bret","Halsey","MLS Pool","Right-back","$104,000.00","$104,000.00"
"Nicolas","Hansen","Colorado Rapids","Goalkeeper","$80,622.00","$80,622.00"
"Aiden","Harangi","San Diego FC","Left-back","$80,622.00","$80,622.00"
"Ian","Harkes","San Jose Earthquakes","Central Midfield","$450,000.00","$450,000.00"
"Cameron","Harper","New York Red Bulls","Right Wing","$360,000.00","$401,750.00"
"Nathan","Harriel","Philadelphia Union","Right-back","$290,000.00","$312,800.00"
"Alex","Harris","Colorado Rapids","Right Wing","$80,622.00","$82,622.00"
"Calvin","Harris","Colorado Rapids","Right Wing","$150,000.00","$152,000.00"
"Marcel","Hartel","St. Louis City SC","Central Midfield","$1,797,600.00","$2,183,113.00"
"Carlos","Harvey","Minnesota United","Defensive Midfield","$104,000.00","$113,627.00"
"Thomas","Hasal","LAFC","Goalkeeper","$104,000.00","$114,133.00"
"Stuart","Hawkins","Seattle Sounders FC","Center-back","$104,000.00","$116,021.00"
"Malik","Henry","Toronto FC","Right Midfield","$80,622.00","$80,622.00"
"Kobi","Henry","Real Salt Lake","Center-back","$104,000.00","$109,982.00"
"Fabian","Herbers","CF Montreal","Right Wing","$400,000.00","$440,000.00"
"Ronald","Hernández","Atlanta United","Right-back","$275,000.00","$290,750.00"
"Andrés","Herrera","Columbus Crew","Right-back","$650,000.00","$737,158.00"
"Aarón","Herrera","DC United","Right-back","$825,000.00","$920,220.00"
"Aiden","Hezarkhani","Real Salt Lake","Right Wing","$80,622.00","$86,980.00"
"Jayden","Hibbert","Atlanta United","Goalkeeper","$80,622.00","$80,622.00"
"Bode","Hidalgo","CF Montreal","Right-back","$275,000.00","$305,800.00"
"Kyle","Hiebert","St. Louis City SC","Center-back","$240,000.00","$269,000.00"
"Brendan","Hines-Ike","Austin FC","Center-back","$325,000.00","$325,000.00"
"Bongokuhle","Hlongwane","Minnesota United","Right Wing","$1,000,000.00","$1,142,500.00"
"Rob","Holding","Colorado Rapids","Center-back","$1,200,000.00","$1,200,000.00"
"Nick","Holliday","Charlotte FC","Goalkeeper","$80,622.00","$80,622.00"
"Ryan","Hollingshead","LAFC","Left-back","$642,500.00","$642,500.00"
"Odin","Holm","LAFC","Central Midfield","$660,000.00","$660,000.00"
"Duane","Holmes","Houston Dynamo","Right Midfield","$300,000.00","$378,000.00"
"Jackson","Hopkins","DC United","Attacking Midfield","$104,000.00","$104,286.00"
"Keegan","Hughes","New England Revolution","Center-back","$104,000.00","$104,000.00"
"Sebastien","Ibeagha","FC Dallas","Center-back","$675,000.00","$738,625.00"
"Sunusi","Ibrahim","CF Montreal","Center Forward","$350,000.00","$410,000.00"
"Mitja","Ilenič","New York City FC","Right-back","$300,000.00","$391,700.00"
"Milan","Iloski","Philadelphia Union","Center Forward","$500,000.00","$552,569.00"
"Marcus","Ingvartsen","San Diego FC","Center Forward","$1,740,000.00","$1,740,000.00"
"Aljaž","Ivačič","MLS Pool","Goalkeeper","$540,000.00","$625,000.00"
"Mathias","Jørgensen","LA Galaxy","Center-back","$600,000.00","$600,000.00"
"Ayoub","Jabbari","FC Cincinnati","Center Forward","$300,000.00","$354,800.00"
"Jacob","Jackson","FC Dallas","Goalkeeper","$104,000.00","$104,000.00"
"Iván","Jaime","CF Montreal","Attacking Midfield","$1,800,000.00","$1,991,200.00"
"Ian","James","Sporting Kansas City","Right-back","$80,622.00","$85,220.00"
"Bryce","Jamison","Colorado Rapids","Right Wing","$104,000.00","$116,466.00"
"Robin","Jansson","Orlando City SC","Center-back","$900,000.00","$996,667.00"
"Aiden","Jarvis","New York Red Bulls","Defensive Midfield","$80,622.00","$97,707.00"
"Danley","Jean Jacques","Philadelphia Union","Defensive Midfield","$600,000.00","$652,100.00"
"Sang-bin","Jeong","St. Louis City SC","Center Forward","$630,750.00","$737,458.00"
"Igor","Jesus Lima","LAFC","Defensive Midfield","$550,000.00","$616,684.00"
"Stiven","Jimenez","FC Cincinnati","Central Midfield","$104,000.00","$104,000.00"
"Sean","Johnson","Toronto FC","Goalkeeper","$621,250.00","$1,063,125.00"
"Tate","Johnson","Vancouver Whitecaps","Left-back","$80,622.00","$81,622.00"
"DeJuan","Jones","San Jose Earthquakes","Left-back","$840,000.00","$846,250.00"
"Malachi","Jones","New York City FC","Left Wing","$80,622.00","$80,622.00"
"Nate","Jones","Colorado Rapids","Center-back","$80,622.00","$80,622.00"
"Derrick","Jones","Columbus Crew","Central Midfield","$350,000.00","$387,500.00"
"Isaiah","Jones","Nashville SC","Central Midfield","$80,622.00","$84,622.00"
"Dejan","Joveljić","Sporting Kansas City","Center Forward","$3,000,000.00","$3,306,250.00"
"MyKhi","Joyner","St. Louis City SC","Left Midfield","$80,622.00","$97,902.00"
"Preston","Judd","San Jose Earthquakes","Center Forward","$185,000.00","$234,375.00"
"Anderson","Julio","FC Dallas","Right Wing","$750,000.00","$820,000.00"
"Ho-yeon","Jung","Minnesota United","Central Midfield","$131,000.00","$168,039.00"
"Sam","Junqua","Real Salt Lake","Left-back","$300,000.00","$312,368.00"
"Kristijan","Kahlina","Charlotte FC","Goalkeeper","$750,000.00","$788,750.00"
"Kei","Kamara","FC Cincinnati","Center Forward","$104,000.00","$119,000.00"
"Bernard","Kamungo","FC Dallas","Right Wing","$225,000.00","$256,000.00"
"Alec","Kann","FC Cincinnati","Goalkeeper","$192,500.00","$192,500.00"
"Hakim","Karamoko","DC United","Right Wing","$80,622.00","$80,622.00"
"Alexandros","Katranis","Real Salt Lake","Left-back","$425,000.00","$494,875.00"
"Mark-Anthony","Kaye","San Jose Earthquakes","Central Midfield","$800,000.00","$800,000.00"
"Axel","Kei","MLS Pool","Center Forward","$140,000.00","$156,000.00"
"Kipp","Keller","Minnesota United","Center-back","$104,000.00","$104,000.00"
"Kevin","Kelsy","Portland Timbers","Center Forward","$612,000.00","$752,804.00"
"Ryan","Kent","Seattle Sounders FC","Left Wing","$936,000.00","$959,500.00"
"Max","Kerkvliet","Real Salt Lake","Goalkeeper","$80,622.00","$80,622.00"
"Deandre","Kerr","Toronto FC","Center Forward","$120,000.00","$125,319.00"
"Henry","Kessler","St. Louis City SC","Center-back","$1,300,000.00","$1,333,333.00"
"Hosei","Kijima","DC United","Central Midfield","$80,622.00","$80,622.00"
"Benji","Kikanović","San Jose Earthquakes","Left Wing","$367,000.00","$403,700.00"
"Kee-hee","Kim","Seattle Sounders FC","Center-back","$104,000.00","$104,000.00"
"Joon-hong","Kim","DC United","Goalkeeper","$354,000.00","$427,000.00"
"João","Klauss de Mello","St. Louis City SC","Center Forward","$1,230,000.00","$1,370,284.00"
"Eric","Klein","New England Revolution","Center-back","$80,622.00","$86,899.00"
"Matus","Kmet","Minnesota United","Right-back","$195,000.00","$212,469.00"
"Jordan","Knight","Nashville SC","Left-back","$80,622.00","$86,455.00"
"Žan","Kolmanič","Austin FC","Left-back","$350,000.00","$350,000.00"
"Jack","Kortkamp","Sporting Kansas City","Goalkeeper","$80,622.00","$82,622.00"
"Kalani","Kossa-Rienzi","Seattle Sounders FC","Right-back","$80,622.00","$80,622.00"
"Rominigue","Kouamé","Chicago Fire","Central Midfield","$600,000.00","$693,755.00"
"Georgios","Koutsias","Chicago Fire","Center Forward","$470,800.00","$470,800.00"
"Sebastian","Kowalczyk","Houston Dynamo","Attacking Midfield","$525,000.00","$594,618.00"
"Theodore","Ku-DiPietro","Colorado Rapids","Attacking Midfield","$400,000.00","$456,000.00"
"Yuya","Kubo","FC Cincinnati","Attacking Midfield","$750,000.00","$821,667.00"
"Willy","Kumado","San Diego FC","Right-back","$104,000.00","$116,435.00"
"Eduard","Löwen","St. Louis City SC","Central Midfield","$1,250,000.00","$1,394,250.00"
"Hernán","López Muñoz","San Jose Earthquakes","Attacking Midfield","$850,000.00","$1,020,000.00"
"Mathías","Laborda","Vancouver Whitecaps","Center-back","$900,000.00","$1,043,625.00"
"Kevon","Lambert","Real Salt Lake","Defensive Midfield","$200,000.00","$218,150.00"
"Luca","Langoni","New England Revolution","Right Wing","$660,000.00","$732,283.00"
"Stanislav","Lapkes","Columbus Crew","Goalkeeper","$80,622.00","$99,712.00"
"Lassi","Lappalainen","Columbus Crew","Left Wing","$325,000.00","$368,750.00"
"Oliver","Larraz","Colorado Rapids","Central Midfield","$125,000.00","$130,625.00"
"Richie","Laryea","Toronto FC","Right-back","$830,000.00","$1,169,438.00"
"Damian","Las","Austin FC","Goalkeeper","$125,000.00","$125,000.00"
"Ariel","Lassiter","Portland Timbers","Left Wing","$315,000.00","$348,000.00"
"Emmanuel","Latte Lath","Atlanta United","Center Forward","$3,534,546.00","$4,030,546.00"
"Randall","Leal","DC United","Left Wing","$1,150,000.00","$1,265,000.00"
"Isaiah","LeFlore","Philadelphia Union","Left-back","$104,000.00","$113,363.00"
"Tim","Leibold","Sporting Kansas City","Left-back","$925,000.00","$926,050.00"
"Brooks","Lennon","Atlanta United","Right-back","$740,000.00","$740,000.00"
"Tucker","Lepley","LA Galaxy","Defensive Midfield","$80,622.00","$82,308.00"
"Beau","Leroux","San Jose Earthquakes","Central Midfield","$80,622.00","$82,526.00"
"Danny","Leyva","Seattle Sounders FC","Defensive Midfield","$325,000.00","$349,900.00"
"Nick","Lima","San Jose Earthquakes","Right-back","$375,000.00","$375,000.00"
"Ondrej","Lingr","Houston Dynamo","Attacking Midfield","$800,004.00","$888,082.00"
"Sebastian","Lletget","FC Dallas","Central Midfield","$800,000.00","$891,250.00"
"Hugo","Lloris","LAFC","Goalkeeper","$700,000.00","$700,000.00"
"Saba","Lobjanidze","Atlanta United","Left Wing","$900,000.00","$998,750.00"
"Robin","Lod","Minnesota United","Central Midfield","$1,550,000.00","$1,689,375.00"
"Kevin","Long","Toronto FC","Center-back","$430,000.00","$468,521.00"
"Aaron","Long","LAFC","Center-back","$445,000.00","$1,050,000.00"
"Matty","Longstaff","CF Montreal","Central Midfield","$312,000.00","$331,869.00"
"Victor","Loturi","CF Montreal","Central Midfield","$80,622.00","$92,122.00"
"Evan","Louro","FC Cincinnati","Goalkeeper","$104,000.00","$109,000.00"
"Daniel","Lovitz","Nashville SC","Left-back","$525,000.00","$542,500.00"
"Damion","Lowe","Houston Dynamo","Center-back","$200,000.00","$233,333.00"
"Favian","Loyola","Orlando City SC","Center Forward","$104,000.00","$106,135.00"
"Hirving","Lozano","San Diego FC","Left Wing","$6,000,000.00","$7,633,333.00"
"Gonzalo","Luján","Inter Miami","Center-back","$526,500.00","$818,250.00"
"Jovan","Lukić","Philadelphia Union","Central Midfield","$285,000.00","$329,875.00"
"Diego","Luna","Real Salt Lake","Left Midfield","$450,000.00","$499,833.00"
"Ben","Lundt","St. Louis City SC","Goalkeeper","$160,000.00","$172,833.00"
"Thomas","Müller","Vancouver Whitecaps","Attacking Midfield","$1,284,456.00","$1,436,956.00"
"Liam","MacKenzie","Vancouver Whitecaps","Attacking Midfield","$80,622.00","$96,047.00"
"Zac","MacMath","Real Salt Lake","Goalkeeper","$250,000.00","$250,000.00"
"Lukas","MacNaughton","DC United","Center-back","$120,000.00","$122,100.00"
"Jack","Maher","Nashville SC","Center-back","$800,000.00","$895,467.00"
"Cassius","Mailula","Toronto FC","Center Forward","$325,000.00","$341,003.00"
"Olwethu","Makhanya","Philadelphia Union","Center-back","$250,000.00","$288,875.00"
"Adilson","Malanda","Charlotte FC","Center-back","$900,000.00","$900,000.00"
"Alexis","Manyoma","Colorado Rapids","Left Wing","$535,200.00","$592,950.00"
"Adrián","Marín","Orlando City SC","Left-back","$325,000.00","$377,972.00"
"JT","Marcinkowski","LA Galaxy","Goalkeeper","$250,000.00","$250,000.00"
"AJ","Marcucci","New York Red Bulls","Goalkeeper","$135,000.00","$152,425.00"
"Dominik","Marczuk","FC Cincinnati","Right Wing","$660,000.00","$735,500.00"
"Paul","Marie","San Jose Earthquakes","Right-back","$325,000.00","$357,500.00"
"Anthony","Markanich Jr.","Minnesota United","Left-back","$104,000.00","$104,000.00"
"George","Marks","Philadelphia Union","Goalkeeper","$104,000.00","$104,000.00"
"Jailson","Marques Siqueira","LAFC","Defensive Midfield","$1,200,000.00","$1,317,444.00"
"Omar","Marquez","Real Salt Lake","Right Wing","$80,622.00","$96,197.00"
"Jahkeele","Marshall-Rutty","Charlotte FC","Right Midfield","$375,000.00","$423,125.00"
"Alonso","Martínez","New York City FC","Center Forward","$700,000.00","$800,333.00"
"David","Martínez","LAFC","Right Wing","$525,000.00","$525,000.00"
"Josef","Martínez","San Jose Earthquakes","Center Forward","$1,300,000.00","$1,450,000.00"
"Thiago","Martins","New York City FC","Center-back","$1,700,000.00","$2,162,000.00"
"João Gabriel","Martins Peglow","DC United","Left Wing","$357,500.00","$608,812.00"
"Jimmy","Maurer","Houston Dynamo","Goalkeeper","$200,000.00","$200,000.00"
"Andreas","Maxsø","Colorado Rapids","Center-back","$1,200,000.00","$1,392,500.00"
"Olivier","Mbaizo","Philadelphia Union","Right-back","$430,000.00","$472,875.00"
"Kenji","Mboma Dem","FC Cincinnati","Center Forward","$80,622.00","$80,622.00"
"Hugo","Mbongue","Toronto FC","Center Forward","$135,000.00","$146,427.00"
"John","McCarthy","New York Red Bulls","Goalkeeper","$452,000.00","$474,600.00"
"Jack","McGlynn","Houston Dynamo","Central Midfield","$265,000.00","$399,320.00"
"Zac","McGraw","Portland Timbers","Center-back","$275,000.00","$321,750.00"
"Duncan","McGuire","Orlando City SC","Center Forward","$540,000.00","$861,000.00"
"Damario","McIntosh","New England Revolution","Right-back","$80,622.00","$89,571.00"
"Paddy","McNair","San Diego FC","Center-back","$700,000.00","$762,803.00"
"Brendan","McSorley","St. Louis City SC","Center Forward","$80,622.00","$80,622.00"
"Christopher","McVey","San Diego FC","Center-back","$445,000.00","$496,813.00"
"Cruz","Medina","San Jose Earthquakes","Central Midfield","$140,000.00","$158,394.00"
"Adri","Mehmeti","New York Red Bulls","Central Midfield","$80,622.00","$126,202.00"
"Edwyn","Mendoza","San Jose Earthquakes","Defensive Midfield","$80,622.00","$93,062.00"
"Carlos","Mercado","Orlando City SC","Goalkeeper","$104,000.00","$104,000.00"
"Loïc","Mesanvi","Minnesota United","Left Wing","$80,622.00","$83,613.00"
"Lionel","Messi","Inter Miami","Right Wing","$12,000,000.00","$20,446,667.00"
"Wyatt","Meyer","Nashville SC","Center-back","$80,622.00","$80,622.00"
"Novak","Mićović","LA Galaxy","Goalkeeper","$175,000.00","$175,000.00"
"Matt","Miazga","FC Cincinnati","Center-back","$1,575,000.00","$1,575,000.00"
"Kenyel","Michel","Minnesota United","Left Wing","$104,000.00","$104,000.00"
"Alex","Mighten","San Diego FC","Left Wing","$250,000.00","$257,292.00"
"Djordje","Mihailovic","Toronto FC","Attacking Midfield","$2,158,335.00","$2,278,335.00"
"Enea","Mihaj","Atlanta United","Center-back","$1,030,000.00","$1,372,000.00"
"Jovan","Mijatović","New York City FC","Center Forward","$650,000.00","$687,500.00"
"Peyton","Miller","New England Revolution","Left-back","$104,000.00","$106,000.00"
"Jansen","Miller","Sporting Kansas City","Center-back","$80,622.00","$82,302.00"
"Harbor","Miller","LA Galaxy","Right-back","$80,622.00","$80,622.00"
"Kamal","Miller","Portland Timbers","Center-back","$770,004.00","$795,004.00"
"Eric","Miller","Portland Timbers","Right-back","$104,000.00","$104,000.00"
"Juan","Mina","New York Red Bulls","Right-back","$162,000.00","$177,432.00"
"Georgi","Minoungou","Seattle Sounders FC","Right Wing","$104,000.00","$104,000.00"
"João Paulo","Mior","Seattle Sounders FC","Central Midfield","$600,000.00","$625,000.00"
"Aleksey","Miranchuk","Atlanta United","Attacking Midfield","$3,600,000.00","$4,885,441.00"
"Roald","Mitchell","New York Red Bulls","Center Forward","$104,000.00","$124,408.00"
"Shak","Mohammed","Orlando City SC","Right Wing","$120,000.00","$126,000.00"
"Luca","Moisa","Real Salt Lake","Central Midfield","$104,000.00","$104,000.00"
"Malachi","Molina","FC Dallas","Right-back","$80,622.00","$93,338.00"
"Zane","Monlouis","Toronto FC","Center-back","$115,000.00","$127,891.00"
"Francesco","Montali","San Jose Earthquakes","Goalkeeper","$104,000.00","$107,178.00"
"Alán","Montes","Sporting Kansas City","Center-back","$400,000.00","$422,500.00"
"Shaq","Moore","FC Dallas","Right-back","$700,000.00","$770,000.00"
"Felipe","Mora","Portland Timbers","Center Forward","$1,275,000.00","$1,472,750.00"
"Efraín","Morales","CF Montreal","Center-back","$104,000.00","$112,019.00"
"Marcelo","Morales","New York Red Bulls","Left-back","$300,000.00","$447,375.00"
"Santiago","Morales","Inter Miami","Central Midfield","$104,000.00","$112,333.00"
"Alfredo","Morales","St. Louis City SC","Central Midfield","$188,571.00","$205,571.00"
"Maxi","Moralez","New York City FC","Attacking Midfield","$480,000.00","$500,000.00"
"Andrew","Moran","LAFC","Attacking Midfield","$666,667.00","$691,111.00"
"Steven","Moreira","Columbus Crew","Right-back","$820,000.00","$902,000.00"
"Lewis","Morgan","New York Red Bulls","Left Wing","$1,250,000.00","$1,479,358.00"
"Jordan","Morris","Seattle Sounders FC","Center Forward","$2,250,000.00","$2,260,000.00"
"Ramiro","Moschen Benetti","FC Dallas","Central Midfield","$500,000.00","$500,000.00"
"Edwin","Mosquera","Atlanta United","Left Wing","$425,000.00","$455,833.00"
"Rafael","Mosquera","New York Red Bulls","Left Wing","$80,622.00","$92,522.00"
"Juan","Mosquera","Portland Timbers","Right-back","$345,000.00","$411,650.00"
"Cole","Mrowka","Columbus Crew","Central Midfield","$80,622.00","$100,630.00"
"Santiago","Muñóz","Sporting Kansas City","Center Forward","$300,000.00","$335,026.00"
"Chris","Mueller","Chicago Fire","Right Wing","$699,996.00","$762,316.00"
"Hany","Mukhtar","Nashville SC","Attacking Midfield","$3,900,000.00","$5,311,667.00"
"Daniel","Munie","San Jose Earthquakes","Center-back","$104,000.00","$178,000.00"
"Luis","Muriel","Orlando City SC","Center Forward","$2,500,000.00","$4,003,333.00"
"Ian","Murphy","Colorado Rapids","Center-back","$400,000.00","$447,500.00"
"Max","Murray","New York City FC","Center-back","$80,622.00","$82,470.00"
"Jacob","Murrell","DC United","Center Forward","$80,622.00","$80,622.00"
"Petar","Musa","FC Dallas","Center Forward","$2,250,000.00","$2,680,000.00"
"Trey","Muse","Portland Timbers","Goalkeeper","$104,000.00","$104,000.00"
"Danny","Musovski","Seattle Sounders FC","Center Forward","$555,000.00","$585,303.00"
"Alex","Muyl","Nashville SC","Right Wing","$535,000.00","$535,000.00"
"Tristan","Muyumba","Atlanta United","Defensive Midfield","$550,000.00","$591,600.00"
"Andy","Nájar","Nashville SC","Right-back","$250,000.00","$280,000.00"
"Darlington","Nagbe","Columbus Crew","Central Midfield","$1,425,000.00","$1,565,833.00"
"Matheus","Nascimento de Paula","LA Galaxy","Center Forward","$500,000.00","$571,250.00"
"Rafael","Navarro Leal","Colorado Rapids","Center Forward","$1,392,000.00","$1,449,600.00"
"Logan","Ndenbe","Sporting Kansas City","Left-back","$525,000.00","$530,000.00"
"Jalen","Neal","CF Montreal","Center-back","$600,000.00","$681,250.00"
"Sean","Nealis","New York Red Bulls","Center-back","$550,000.00","$626,250.00"
"Dylan","Nealis","New York Red Bulls","Right-back","$385,000.00","$385,000.00"
"Jack","Neeley","Charlotte FC","Center-back","$104,000.00","$106,000.00"
"Franco","Negri","San Diego FC","Left-back","$270,000.00","$297,500.00"
"John","Nelson","LA Galaxy","Left-back","$275,000.00","$291,667.00"
"Jayden","Nelson","Vancouver Whitecaps","Left Wing","$360,000.00","$414,000.00"
"Enzo","Newman","FC Dallas","Right-back","$80,622.00","$80,622.00"
"J.C.","Ngando","Vancouver Whitecaps","Defensive Midfield","$104,000.00","$104,000.00"
"Serge","Ngoma Jr.","New York Red Bulls","Right Wing","$165,000.00","$193,700.00"
"Kenny","Nielsen","LAFC","Center-back","$80,622.00","$80,622.00"
"Joakim","Nilsson","MLS Pool","Center-back","$1,187,250.00","$1,255,750.00"
"Nolan","Norris","FC Dallas","Left-back","$125,000.00","$143,642.00"
"Tsiki","Ntsabeleng","FC Dallas","Attacking Midfield","$200,000.00","$227,000.00"
"Obinna","Nwobodo","FC Cincinnati","Defensive Midfield","$982,350.00","$1,241,250.00"
"Aiden","O'Neill","New York City FC","Defensive Midfield","$540,000.00","$570,938.00"
"Mark","O'Neill","Vancouver Whitecaps","Center-back","$80,622.00","$80,622.00"
"Kevin","O'Toole","New York City FC","Left-back","$225,000.00","$246,667.00"
"Allen","Obando","Inter Miami","Center Forward","$500,000.00","$620,833.00"
"Jáder","Obrian","Austin FC","Right Wing","$450,000.00","$505,401.00"
"Édier","Ocampo","Vancouver Whitecaps","Right-back","$375,000.00","$428,299.00"
"David","Ochoa","LAFC","Goalkeeper","$104,000.00","$112,333.00"
"Chituru","Odunze","Charlotte FC","Goalkeeper","$104,000.00","$117,508.00"
"Curtis","Ofori","New York Red Bulls","Left-back","$125,000.00","$133,750.00"
"Agustín","Ojeda","New York City FC","Left Wing","$510,000.00","$577,833.00"
"Martín","Ojeda","Orlando City SC","Attacking Midfield","$960,000.00","$1,032,600.00"
"Braian","Ojeda","Real Salt Lake","Central Midfield","$650,000.00","$708,653.00"
"Victor","Olatunji","Real Salt Lake","Center Forward","$600,000.00","$626,500.00"
"Christian","Olivares","St. Louis City SC","Goalkeeper","$80,622.00","$80,622.00"
"Sal","Olivas","Philadelphia Union","Center Forward","$80,622.00","$104,702.00"
"CJ","Olney Jr.","Philadelphia Union","Left Midfield","$80,622.00","$94,287.00"
"Toyosi","Olusanya","Houston Dynamo","Center Forward","$318,000.00","$363,219.00"
"Wyatt","Omsberg","New England Revolution","Center-back","$125,000.00","$137,500.00"
"Kwadwo Mahala","Opoku","CF Montreal","Right Wing","$458,333.00","$598,560.00"
"Nathan","Ordaz","LAFC","Center Forward","$146,500.00","$149,000.00"
"Sergio","Oregel","Chicago Fire","Central Midfield","$113,400.00","$113,400.00"
"Luca","Orellano","FC Cincinnati","Right Wing","$600,000.00","$943,950.00"
"Jaziel","Orozco","St. Louis City SC","Right-back","$80,622.00","$80,622.00"
"Pablo","Ortiz","Houston Dynamo","Center-back","$400,000.00","$443,400.00"
"Joao","Ortiz","Portland Timbers","Defensive Midfield","$475,000.00","$525,625.00"
"Jonathan","Osorio","Toronto FC","Central Midfield","$1,000,000.00","$1,183,333.00"
"Tomas","Ostrák","St. Louis City SC","Attacking Midfield","$700,000.00","$801,000.00"
"Javier","Otero","Orlando City SC","Goalkeeper","$120,000.00","$123,750.00"
"Prince","Owusu","CF Montreal","Center Forward","$900,000.00","$1,007,500.00"
"Allan","Oyirwoth","New England Revolution","Attacking Midfield","$104,000.00","$120,000.00"
"Jonathan","Pérez","Nashville SC","Left Wing","$400,000.00","$470,956.00"
"Marco","Pašalić","Orlando City SC","Right Wing","$1,600,000.00","$1,650,667.00"
"Woobens","Pacius","Nashville SC","Center Forward","$80,622.00","$80,622.00"
"Devin","Padelford","St. Louis City SC","Left-back","$114,000.00","$121,000.00"
"Maarten","Paes","FC Dallas","Goalkeeper","$450,000.00","$522,000.00"
"Joseph","Paintsil","LA Galaxy","Right Wing","$3,136,000.00","$4,182,000.00"
"Nelson","Palacio","Real Salt Lake","Central Midfield","$380,000.00","$423,167.00"
"Jeison","Palacios","Nashville SC","Center-back","$350,000.00","$526,667.00"
"Sergi","Palencia","LAFC","Right-back","$549,996.00","$569,996.00"
"Jack","Panayotou","New England Revolution","Central Midfield","$117,500.00","$119,500.00"
"Elliot","Panicco","MLS Pool","Goalkeeper","$230,000.00","$230,000.00"
"James","Pantemis","Portland Timbers","Goalkeeper","$200,000.00","$220,833.00"
"Cristhian","Paredes","Portland Timbers","Central Midfield","$610,000.00","$714,000.00"
"Isaiah","Parente","LA Galaxy","Central Midfield","$104,000.00","$104,000.00"
"Nick","Pariano","Philadelphia Union","Defensive Midfield","$80,622.00","$85,815.00"
"Donovan","Parisian","New England Revolution","Goalkeeper","$80,622.00","$80,622.00"
"Tim","Parker","New York Red Bulls","Center-back","$300,000.00","$347,500.00"
"Keaton","Parks","New York City FC","Defensive Midfield","$400,000.00","$530,000.00"
"Tyson","Pearce","St. Louis City SC","Right-back","$104,000.00","$104,000.00"
"Tom","Pearce","Without a Club","Left-back","$450,000.00","$450,000.00"
"Adam","Pearlman","Toronto FC","Center-back","$104,000.00","$117,300.00"
"Amahl","Pellegrino","San Diego FC","Left Wing","$850,000.00","$912,500.00"
"Matti","Peltola","DC United","Defensive Midfield","$750,000.00","$826,000.00"
"Diego","Pepi","FC Dallas","Center Forward","$80,622.00","$80,622.00"
"Andrés","Perea","New York City FC","Defensive Midfield","$660,000.00","$726,500.00"
"Daniel","Pereira","Austin FC","Central Midfield","$475,000.00","$514,375.00"
"Raul Gustavo","Pereira Bicalho","New York City FC","Center-back","$720,000.00","$812,960.00"
"Joaquín","Pereyra","Minnesota United","Central Midfield","$655,000.00","$844,000.00"
"Miguel","Perez","St. Louis City SC","Central Midfield","$104,000.00","$104,000.00"
"Nikola","Petković","Charlotte FC","Defensive Midfield","$420,000.00","$466,250.00"
"Luca","Petrasso","CF Montreal","Left-back","$104,000.00","$119,136.00"
"Raoul","Petretta","Toronto FC","Left-back","$775,000.00","$854,750.00"
"Hugo","Picard","Columbus Crew","Left Midfield","$675,000.00","$731,244.00"
"Fafà","Picault","Inter Miami","Left Wing","$600,000.00","$642,000.00"
"Selmir","Pidro","St. Louis City SC","Left-back","$325,000.00","$374,375.00"
"Neil","Pierre","Philadelphia Union","Center-back","$80,622.00","$97,020.00"
"Nelson","Pierre","Vancouver Whitecaps","Center Forward","$104,000.00","$118,116.00"
"Samuel","Piette","CF Montreal","Defensive Midfield","$535,250.00","$561,016.00"
"Ian","Pilcher","San Diego FC","Center-back","$80,622.00","$80,622.00"
